Date,Ticker,drawdown_90d,fgi
2022-11-18,BTC,-0.2543023807206192,23.0
2022-11-19,BTC,-0.2542921109103785,23.0
2022-11-20,BTC,-0.27306577054386244,24.0
2022-11-21,BTC,-0.2953441145503565,21.0
2022-11-22,BTC,-0.27544524092528316,22.0
2022-11-23,BTC,-0.2586487430198779,22.0
2022-11-24,BTC,-0.2588344926311879,20.0
2022-11-25,BTC,-0.2622641627380922,20.0
2022-11-26,BTC,-0.2651026489859233,22.0
2022-11-27,BTC,-0.266432812668838,26.0
2022-11-28,BTC,-0.2760716993499657,28.0
2022-11-29,BTC,-0.2658188566218398,26.0
2022-11-30,BTC,-0.23362032243632055,29.0
2022-12-01,BTC,-0.24193752919081943,27.0
2022-12-02,BTC,-0.23678610307138767,27.0
2022-12-03,BTC,-0.2460530440164067,27.0
2022-12-04,BTC,-0.23620742158999883,26.0
2022-12-05,BTC,-0.24242958705539547,26.0
2022-12-06,BTC,-0.2369548851701262,25.0
2022-12-07,BTC,-0.24822131351766014,29.0
2022-12-08,BTC,-0.23092070188348332,25.0
2022-12-09,BTC,-0.23518669175477122,26.0
2022-12-10,BTC,-0.23523446869806489,27.0
2022-12-11,BTC,-0.1978612512952261,26.0
2022-12-12,BTC,-0.19200286205648323,27.0
2022-12-13,BTC,-0.16548235933738878,27.0
2022-12-14,BTC,-0.16414663907899613,30.0
2022-12-15,BTC,-0.18512425484885228,31.0
2022-12-16,BTC,-0.21912619950730938,29.0
2022-12-17,BTC,-0.21234665626260302,28.0
2022-12-18,BTC,-0.21414530101125057,26.0
2022-12-19,BTC,-0.22819876832037747,29.0
2022-12-20,BTC,-0.20675775856281184,29.0
2022-12-21,BTC,-0.21008602601860998,26.0
2022-12-22,BTC,-0.21023814319390663,28.0
2022-12-23,BTC,-0.21225369576658837,27.0
2022-12-24,BTC,-0.20954845143307058,29.0
2022-12-25,BTC,-0.20973671991237294,29.0
2022-12-26,BTC,-0.20563894612845354,28.0
2022-12-27,BTC,-0.21564065040421376,27.0
2022-12-28,BTC,-0.22310800741993767,28.0
2022-12-29,BTC,-0.21906281735093563,28.0
2022-12-30,BTC,-0.22028304123549192,28.0
2022-12-31,BTC,-0.22333853067015585,25.0
2023-01-01,BTC,-0.21984781709505957,26.0
2023-01-02,BTC,-0.2172129973797347,27.0
2023-01-03,BTC,-0.21710454346771754,26.0
2023-01-04,BTC,-0.20887988705769225,29.0
2023-01-05,BTC,-0.20974892684619315,29.0
2023-01-06,BTC,-0.20417129708531276,26.0
2023-01-07,BTC,-0.20450370128318346,25.0
2023-01-08,BTC,-0.19585274118436355,25.0
2023-01-09,BTC,-0.19348506552071731,25.0
2023-01-10,BTC,-0.18116545231150027,26.0
2023-01-11,BTC,-0.15756851024232177,26.0
2023-01-12,BTC,-0.11515598818181008,30.0
2023-01-13,BTC,-0.0642911034457827,31.0
2023-01-14,BTC,-0.016171839824370426,46.0
2023-01-15,BTC,-0.02008838759080663,52.0
2023-01-16,BTC,-0.005339125053933404,45.0
2023-01-17,BTC,-0.007726050113219202,51.0
2023-01-18,BTC,-0.0291980467027897,52.0
2023-01-19,BTC,-0.010694213021324051,45.0
2023-01-20,BTC,0.0,51.0
2023-01-21,BTC,0.0,53.0
2023-01-22,BTC,-0.003321255906125176,53.0
2023-01-23,BTC,0.0,50.0
2023-01-24,BTC,-0.012373644259909423,52.0
2023-01-25,BTC,0.0,51.0
2023-01-26,BTC,-0.0022241070832323935,54.0
2023-01-27,BTC,0.0,55.0
2023-01-28,BTC,-0.0022345342148967205,52.0
